epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.2799,2.01628,2.81726,1.71393,0.92866,0.55106,0.55536,0.50561,1.78644,2.73885,1.76409,0,0,0
2,13.272,1.86852,2.60464,1.66412,0.90214,0.55157,0.55536,0.50561,1.76851,2.70331,1.74527,1.63399e-05,1.63399e-05,1.63399e-05
3,21.1719,1.92488,2.98321,1.7307,0.87421,0.55127,0.55536,0.50561,1.74382,2.67327,1.72166,3.20197e-05,3.20197e-05,3.20197e-05
4,28.8594,1.73855,2.82699,1.41216,0.85542,0.54737,0.55536,0.46826,1.72227,2.66625,1.70669,4.70394e-05,4.70394e-05,4.70394e-05
5,35.9181,1.82439,2.72301,1.63901,0.84424,0.54752,0.55537,0.46827,1.69492,2.65669,1.69564,6.13989e-05,6.13989e-05,6.13989e-05
6,42.4937,1.89005,2.8652,1.57811,0.84099,0.54847,0.55538,0.46827,1.68509,2.64738,1.68566,7.50984e-05,7.50984e-05,7.50984e-05
7,49.4398,1.74128,2.83208,1.5162,0.83927,0.54952,0.55538,0.46249,1.74264,2.65217,1.70713,8.81376e-05,8.81376e-05,8.81376e-05
8,56.4222,1.21882,1.85368,1.36118,0.8302,0.5504,0.55538,0.46249,1.80175,2.66426,1.72629,0.000100517,0.000100517,0.000100517
9,65.9149,1.84926,3.21011,1.50225,0.80956,0.55001,0.55539,0.46249,1.83256,2.71286,1.74488,0.000112236,0.000112236,0.000112236
10,71.8586,1.47614,2.38226,1.47513,0.79116,0.55032,0.55538,0.46249,1.80782,2.71505,1.72751,0.000123295,0.000123295,0.000123295
11,77.6933,1.41599,2.42161,1.29142,0.79034,0.55371,0.55539,0.45671,1.80681,2.7016,1.74389,0.000133693,0.000133693,0.000133693
12,84.481,1.72002,2.67466,1.47501,0.80639,0.55556,0.55538,0.4567,1.85121,2.70363,1.74726,0.000143432,0.000143432,0.000143432
