epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,766.737,1.54611,3.20701,1.85145,0.09087,0.1268,0.06256,0.02982,2.08496,5.65451,2.66673,0.000409836,0.000409836,0.000409836
2,1539.29,1.80016,2.8735,2.02939,0.04161,0.15148,0.04564,0.01728,2.21101,20.1271,3.0142,0.000810138,0.000810138,0.000810138
3,2310.14,1.8799,2.84695,2.10271,0.03111,0.0787,0.01527,0.00397,2.62933,9.487,4.00579,0.00119394,0.00119394,0.00119394
4,3080.67,1.93226,2.9831,2.13188,0.0964,0.09167,0.06079,0.01651,2.44761,4.01258,2.87756,0.00117575,0.00117575,0.00117575
5,3854.54,1.96952,2.81193,2.12244,0.16154,0.12866,0.06659,0.02631,2.27553,3.81103,2.50858,0.001151,0.001151,0.001151
6,4627.03,1.92396,2.77351,2.07494,0.10056,0.24807,0.09015,0.0332,2.19225,3.74658,2.45664,0.00112625,0.00112625,0.00112625
7,5399.91,1.87181,2.62862,2.04607,0.20509,0.25491,0.13773,0.05104,2.16976,3.67565,2.46105,0.0011015,0.0011015,0.0011015
8,6168.48,1.88604,2.56783,2.02006,0.28283,0.20015,0.17947,0.08452,1.93182,2.65033,2.11974,0.00107675,0.00107675,0.00107675
9,6940.88,1.81237,2.54903,1.98721,0.49329,0.13514,0.14561,0.05971,2.04303,3.2988,2.17821,0.001052,0.001052,0.001052
10,7712.73,1.75913,2.45609,1.98676,0.21999,0.26118,0.23328,0.09671,1.99075,2.65645,2.09714,0.00102725,0.00102725,0.00102725
11,8482.53,1.74522,2.38636,1.93612,0.23124,0.29262,0.21602,0.1012,1.94431,2.44232,2.08875,0.0010025,0.0010025,0.0010025
12,9256.01,1.76227,2.40903,1.92836,0.25347,0.25666,0.1916,0.09256,1.92165,2.44884,2.15353,0.00097775,0.00097775,0.00097775
13,10031.1,1.68726,2.3027,1.87338,0.24228,0.34396,0.23637,0.11848,1.76237,2.29504,1.9296,0.000953,0.000953,0.000953
14,10809.6,1.65401,2.31388,1.88555,0.22941,0.30615,0.2395,0.11821,1.84153,2.41272,2.04706,0.00092825,0.00092825,0.00092825
15,11588.6,1.61072,2.30041,1.8685,0.28384,0.32735,0.24583,0.12548,1.74848,2.358,1.94954,0.0009035,0.0009035,0.0009035
16,12363.7,1.63716,2.17556,1.84324,0.23699,0.42018,0.28328,0.14888,1.70453,2.15539,1.85127,0.00087875,0.00087875,0.00087875
17,13135.3,1.63544,2.23225,1.85883,0.28275,0.29563,0.26198,0.1466,1.73232,2.14485,1.94862,0.000854,0.000854,0.000854
18,13920.2,1.60715,2.14141,1.80525,0.35405,0.37236,0.29742,0.1583,1.66638,2.02768,1.82348,0.00082925,0.00082925,0.00082925
19,14695.8,1.58056,2.08936,1.8067,0.32637,0.30376,0.25327,0.13058,1.75027,2.21898,1.95558,0.0008045,0.0008045,0.0008045
20,15460.3,1.50285,2.04313,1.7532,0.28682,0.39583,0.26968,0.14091,1.71286,2.18843,1.88527,0.00077975,0.00077975,0.00077975
21,16203.8,1.56585,2.00494,1.80839,0.31094,0.3623,0.28188,0.15806,1.70384,2.0432,1.84163,0.000755,0.000755,0.000755
22,16978.1,1.54662,1.99008,1.78716,0.31644,0.28481,0.30446,0.15761,1.74457,2.06398,1.92735,0.00073025,0.00073025,0.00073025
23,17756.6,1.54357,2.05494,1.77443,0.33885,0.37225,0.28285,0.15245,1.65129,2.04245,1.8661,0.0007055,0.0007055,0.0007055
24,18522.1,1.45583,1.94125,1.71813,0.34183,0.45853,0.29345,0.17046,1.54092,1.91524,1.74661,0.00068075,0.00068075,0.00068075
25,19304.9,1.44117,1.88739,1.70828,0.34979,0.48137,0.3227,0.18734,1.57069,1.92188,1.77138,0.000656,0.000656,0.000656
26,20099.2,1.46375,1.8472,1.70665,0.43663,0.36301,0.30829,0.18241,1.56722,1.92312,1.7917,0.00063125,0.00063125,0.00063125
27,20890.1,1.46797,1.88745,1.68611,0.39336,0.44773,0.3134,0.1786,1.61513,1.85669,1.77324,0.0006065,0.0006065,0.0006065
28,21660.3,1.43512,1.82151,1.67466,0.32399,0.40401,0.31516,0.1903,1.57505,1.81795,1.80144,0.00058175,0.00058175,0.00058175
29,22407.7,1.38134,1.75313,1.63864,0.39105,0.44222,0.35309,0.19809,1.60149,1.8356,1.78722,0.000557,0.000557,0.000557
30,23163.9,1.37271,1.76461,1.64091,0.39704,0.50228,0.38213,0.20828,1.60018,1.81064,1.78115,0.00053225,0.00053225,0.00053225
31,23913.3,1.37742,1.7642,1.61913,0.3706,0.42953,0.35462,0.20694,1.56144,1.78001,1.7459,0.0005075,0.0005075,0.0005075
32,24657,1.37877,1.71685,1.6304,0.35267,0.4439,0.33239,0.19438,1.59912,1.79977,1.78613,0.00048275,0.00048275,0.00048275
33,25401,1.31166,1.63998,1.58553,0.47959,0.4049,0.38664,0.21394,1.53534,1.75865,1.72528,0.000458,0.000458,0.000458
34,26153.9,1.33303,1.65826,1.58149,0.48937,0.37959,0.36793,0.20255,1.53526,1.84457,1.72484,0.00043325,0.00043325,0.00043325
35,26896.4,1.31213,1.66923,1.59945,0.3453,0.43982,0.3373,0.19493,1.53204,1.83249,1.73567,0.0004085,0.0004085,0.0004085
36,27639.8,1.31509,1.62491,1.59502,0.41922,0.38807,0.35393,0.19673,1.61527,1.86536,1.79636,0.00038375,0.00038375,0.00038375
37,28381.4,1.29519,1.57265,1.55399,0.50929,0.37864,0.37269,0.21573,1.56787,1.79184,1.76905,0.000359,0.000359,0.000359
38,29134.7,1.23725,1.45898,1.50179,0.52813,0.41816,0.37155,0.2126,1.54108,1.75462,1.75042,0.00033425,0.00033425,0.00033425
39,29876.4,1.26882,1.52102,1.55012,0.46211,0.41302,0.3508,0.20562,1.54631,1.71714,1.73238,0.0003095,0.0003095,0.0003095
40,30616.6,1.24371,1.45577,1.52651,0.49275,0.42088,0.38677,0.22216,1.53494,1.68486,1.74481,0.00028475,0.00028475,0.00028475
41,31354,1.15368,1.34241,1.53101,0.43364,0.44656,0.35121,0.20246,1.54638,1.79741,1.69798,0.00026,0.00026,0.00026
42,32088.9,1.09066,1.27105,1.45647,0.37506,0.40566,0.33155,0.20491,1.51982,1.88594,1.72916,0.00023525,0.00023525,0.00023525
43,32824.7,1.08073,1.223,1.47503,0.39003,0.42327,0.32727,0.19863,1.48828,1.85856,1.67667,0.0002105,0.0002105,0.0002105
44,33582.2,1.07458,1.2301,1.46097,0.4192,0.44794,0.36472,0.22734,1.43641,1.72971,1.63944,0.00018575,0.00018575,0.00018575
45,34341.7,1.07034,1.20877,1.47562,0.45077,0.44791,0.38323,0.23376,1.45094,1.66856,1.6561,0.000161,0.000161,0.000161
46,35077.6,1.01069,1.09647,1.37979,0.42147,0.45166,0.36536,0.22569,1.49001,1.70185,1.69332,0.00013625,0.00013625,0.00013625
